;x;y;d;w;weight_density
0;0.0;0.0;0.0;1.0;0.20554617245992024
1;0.0;0.0;1.0;1.0;0.20554617245992024
2;0.0;0.0;2.0;1.0;0.20554617245992024
3;0.0;0.0;3.0;1.0;0.20554617245992024
4;0.0;0.0;4.0;1.0;0.20554617245992024
5;0.0;0.0;5.0;1.0;0.20554617245992024
6;0.0;0.0;6.0;1.0;0.20554617245992024
7;0.0;0.0;7.0;1.0;0.20554617245992024
8;0.0;0.0;8.0;1.0;0.20554617245992024
9;0.0;0.0;9.0;1.0;0.20554617245992024
10;0.0;0.0;10.0;1.0;0.20554617245992024
11;0.0;0.0;11.0;1.0;0.20554617245992024
12;0.0;0.0;12.0;1.0;0.20554617245992024
13;0.0;0.0;13.0;1.0;0.20554617245992024
14;0.0;0.0;14.0;1.0;0.20554617245992024
15;0.0;0.0;15.0;1.0;0.20554617245992024
16;0.0;0.0;16.0;1.0;0.20554617245992024
17;0.0;0.0;17.0;1.0;0.20554617245992024
18;0.0;0.0;18.0;1.0;0.20554617245992024
19;0.0;0.0;19.0;1.0;0.20554617245992024
20;0.0;0.0;20.0;1.0;0.20554617245992024
21;0.0;0.0;21.0;1.0;0.20554617245992024
22;0.0;0.0;22.0;1.0;0.20554617245992024
23;0.0;0.0;23.0;1.0;0.20554617245992024
24;0.0;0.0;24.0;1.0;0.20554617245992024
25;0.0;0.0;25.0;1.0;0.20554617245992024
26;0.0;0.0;26.0;1.0;0.20554617245992024
27;0.0;0.0;27.0;1.0;0.20554617245992024
28;0.0;0.0;28.0;1.0;0.20554617245992024
29;0.0;0.0;29.0;1.0;0.20554617245992024
30;0.0;1.0;0.0;1.0;0.2737239099317981
31;0.0;1.0;1.0;1.0;0.2737239099317981
32;0.0;1.0;2.0;1.0;0.2737239099317981
33;0.0;1.0;3.0;1.0;0.2737239099317981
34;0.0;1.0;4.0;1.0;0.2737239099317981
35;0.0;1.0;5.0;1.0;0.2737239099317981
36;0.0;1.0;6.0;1.0;0.2737239099317981
37;0.0;1.0;7.0;1.0;0.2737239099317981
38;0.0;1.0;8.0;1.0;0.2737239099317981
39;0.0;1.0;9.0;1.0;0.2737239099317981
40;0.0;1.0;10.0;1.0;0.2737239099317981
41;0.0;1.0;11.0;1.0;0.2737239099317981
42;0.0;1.0;12.0;1.0;0.2737239099317981
43;0.0;1.0;13.0;1.0;0.2737239099317981
44;0.0;1.0;14.0;1.0;0.2737239099317981
45;0.0;1.0;15.0;1.0;0.2737239099317981
46;0.0;1.0;16.0;1.0;0.2737239099317981
47;0.0;1.0;17.0;1.0;0.2737239099317981
48;0.0;1.0;18.0;1.0;0.2737239099317981
49;0.0;1.0;19.0;1.0;0.2737239099317981
50;0.0;1.0;20.0;1.0;0.2737239099317981
51;0.0;1.0;21.0;1.0;0.2737239099317981
52;0.0;1.0;22.0;1.0;0.2737239099317981
53;0.0;1.0;23.0;1.0;0.2737239099317981
54;0.0;1.0;24.0;1.0;0.2737239099317981
55;0.0;1.0;25.0;1.0;0.2737239099317981
56;0.0;1.0;26.0;1.0;0.2737239099317981
57;0.0;1.0;27.0;1.0;0.2737239099317981
58;0.0;1.0;28.0;1.0;0.2737239099317981
