;Lat (DMS);Long (DMS);Depth (m)
0;47-48-06.045N;069-54-00.442W;14.94
1;47-48-08.640N;069-54-01.440W;3.88
2;47-48-08.640N;069-54-01.080W;5.4
3;47-48-08.640N;069-54-00.360W;12.52
4;47-48-08.640N;069-54-00.000W;13.65
5;47-48-09.000N;069-54-01.440W;2.76
6;47-48-09.000N;069-54-01.080W;4.64
7;47-48-09.000N;069-54-00.720W;7.93
8;47-48-09.000N;069-54-00.360W;10.83
9;47-48-09.000N;069-54-00.000W;13.21
10;47-48-09.360N;069-54-01.440W;2.08
11;47-48-09.360N;069-54-01.080W;4.43
12;47-48-09.360N;069-54-00.720W;7.9
13;47-48-09.360N;069-54-00.360W;10.84
14;47-48-09.360N;069-54-00.000W;13.35
15;47-48-09.720N;069-54-01.800W;1.93
16;47-48-09.720N;069-54-01.440W;1.88
17;47-48-09.720N;069-54-01.080W;3.37
18;47-48-09.720N;069-54-00.720W;7.31
19;47-48-09.720N;069-54-00.360W;10.43
20;47-48-09.720N;069-54-00.000W;13.17
21;47-48-10.080N;069-54-01.800W;1.44
22;47-48-10.080N;069-54-01.440W;1.53
23;47-48-10.080N;069-54-01.080W;3.1
24;47-48-10.080N;069-54-00.720W;5.48
25;47-48-10.080N;069-54-00.360W;8.84
26;47-48-10.080N;069-54-00.000W;11.5
27;47-48-10.440N;069-54-01.800W;0.7
28;47-48-10.440N;069-54-01.440W;0.81
29;47-48-10.440N;069-54-01.080W;2.5
30;47-48-10.440N;069-54-00.720W;3.75
31;47-48-10.440N;069-54-00.360W;6.4
32;47-48-10.440N;069-54-00.000W;9.52
33;47-48-10.800N;069-54-01.800W;0.48
34;47-48-10.800N;069-54-01.440W;0.62
35;47-48-10.800N;069-54-01.080W;2.66
36;47-48-10.800N;069-54-00.720W;3.87
37;47-48-10.800N;069-54-00.360W;5.92
38;47-48-10.800N;069-54-00.000W;8.33
39;47-48-11.160N;069-54-01.800W;0.27
40;47-48-11.160N;069-54-01.440W;0.3
41;47-48-11.160N;069-54-01.080W;1.87
42;47-48-11.160N;069-54-00.720W;3.83
43;47-48-11.160N;069-54-00.360W;5.91
44;47-48-11.160N;069-54-00.000W;7.93
45;47-48-11.520N;069-54-01.800W;0.16
46;47-48-11.520N;069-54-01.440W;0.26
47;47-48-11.520N;069-54-01.080W;0.97
48;47-48-11.520N;069-54-00.720W;3.32
49;47-48-11.520N;069-54-00.360W;5.41
50;47-48-11.520N;069-54-00.000W;7.57
51;47-48-11.880N;069-54-01.800W;0.28
52;47-48-11.880N;069-54-01.440W;0.01
53;47-48-11.880N;069-54-01.080W;1.26
54;47-48-11.880N;069-54-00.720W;3.15
55;47-48-11.880N;069-54-00.360W;5.41
56;47-48-11.880N;069-54-00.000W;7.57
57;47-48-12.240N;069-54-01.440W;-0.09
58;47-48-12.240N;069-54-01.080W;1.13
59;47-48-12.240N;069-54-00.720W;4.04
60;47-48-12.240N;069-54-00.360W;7.0
61;47-48-12.240N;069-54-00.000W;9.86
62;47-48-12.600N;069-54-01.440W;0.13
63;47-48-12.600N;069-54-01.080W;0.96
64;47-48-12.600N;069-54-00.720W;3.9
65;47-48-12.600N;069-54-00.360W;6.83
66;47-48-12.600N;069-54-00.000W;9.34
67;47-48-12.960N;069-54-01.440W;0.24
68;47-48-12.960N;069-54-01.080W;0.66
69;47-48-12.960N;069-54-00.720W;2.82
70;47-48-12.960N;069-54-00.360W;4.99
71;47-48-12.960N;069-54-00.000W;8.07
72;47-48-13.320N;069-54-01.440W;0.35
73;47-48-13.320N;069-54-01.080W;0.34
74;47-48-13.320N;069-54-00.720W;2.37
75;47-48-13.320N;069-54-00.360W;4.42
76;47-48-13.320N;069-54-00.000W;7.13
77;47-48-13.680N;069-54-01.440W;0.4
78;47-48-13.680N;069-54-01.080W;0.25
79;47-48-13.680N;069-54-00.720W;1.58
80;47-48-13.680N;069-54-00.360W;3.42
81;47-48-13.680N;069-54-00.000W;5.9
82;47-48-14.040N;069-54-01.080W;-0.09
83;47-48-14.040N;069-54-00.720W;0.98
84;47-48-14.040N;069-54-00.360W;2.95
85;47-48-14.040N;069-54-00.000W;4.44
86;47-48-14.400N;069-54-01.080W;-0.1
87;47-48-14.400N;069-54-00.720W;0.4
88;47-48-14.400N;069-54-00.360W;1.53
89;47-48-14.400N;069-54-00.000W;2.95
90;47-48-14.760N;069-54-01.080W;0.08
91;47-48-14.760N;069-54-00.720W;0.02
92;47-48-14.760N;069-54-00.360W;1.12
93;47-48-14.760N;069-54-00.000W;2.76
94;47-48-15.120N;069-54-00.720W;0.0
95;47-48-15.120N;069-54-00.360W;0.69
96;47-48-15.120N;069-54-00.000W;2.51
97;47-48-15.480N;069-54-00.720W;0.11
98;47-48-15.480N;069-54-00.360W;0.17
99;47-48-15.480N;069-54-00.000W;1.89
100;47-48-15.840N;069-54-00.360W;0.47
101;47-48-15.840N;069-54-00.000W;0.86
102;47-48-16.200N;069-54-00.360W;0.65
103;47-48-16.200N;069-54-00.000W;0.76
104;47-48-16.560N;069-54-00.000W;0.93
